ElecStatus,MinimumOverall,InvestmentCost,MinimumOverallLCOE,NumConnections,DemandKWh_Y0,DistNearElecKm,ElecTargetPhase,ElecTargetYear,GridRolloutPhase,LCOE_Grid,LCOE_SHS,LCOE_MG_Solar,LCOE_MG_Hydro,Lat,Lon
electrified,Already Electrified,0.0,0.0,64,6936.825,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.737480209172729,1.5412389420109216
electrified,Already Electrified,0.0,0.0,28,7385.775,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.889045904108498,1.6759315767477145
unelectrified,SHS,27300.0,7.228931377821024,182,1143.773125,0.0,Phase 1 (→2030),2030.0,N/A,7.497777958599804,7.228931377821024,inf,inf,6.763818265979155,2.1300353099696436
electrified,Already Electrified,0.0,0.0,26,2059.33,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.66388608996495,2.6354512487235744
unelectrified,SHS,4050.0,0.6265136872999727,27,2673.16875,0.0,Phase 2 (→2035),2035.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,9.42045348760286,2.9448994687655734
electrified,Already Electrified,0.0,0.0,53,5247.33125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.97266942529013,3.4039142046673967
electrified,Already Electrified,0.0,0.0,130,12870.8125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.559309309746014,1.2211485669556275
electrified,Already Electrified,0.0,0.0,27,2673.16875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.360178664846638,1.4140815391311918
electrified,Already Electrified,0.0,0.0,28,2772.175,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.715717015854236,1.9497354722618174
unelectrified,SHS,1650.0,0.6265136872999727,11,871.255,0.017646889900749883,Phase 3 (→2040),2040.0,N/A,0.6794355884112782,0.6265136872999727,inf,inf,10.887327915966877,2.1865504267350455
unelectrified,SHS,6450.0,0.6265136872999727,43,4257.26875,0.0,Phase 1 (→2030),2030.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,10.674090304124363,1.278536673913947
unelectrified,SHS,4500.0,0.6265136872999727,30,2376.15,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,10.666287975869043,3.543888412568047
unelectrified,SHS,6750.0,7.459189408444028,45,274.07125,0.014937875230472034,Phase 3 (→2040),2040.0,N/A,7.354270926801678,7.459189408444028,inf,inf,10.0029000137541,3.1228639136992276
electrified,Already Electrified,0.0,0.0,35,3465.21875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.741184600724017,0.8569988732712057
unelectrified,SHS,48900.0,7.601996026928638,326,1948.195625,0.0,Phase 1 (→2030),2030.0,N/A,7.415648791424194,7.601996026928638,inf,inf,10.58277212989819,0.8794384866355669
electrified,Already Electrified,0.0,0.0,71,7629.86875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.665889634510555,2.356044541019883
electrified,Already Electrified,0.0,0.0,54,5073.5,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.827066881599019,2.557454366556435
unelectrified,SHS,6600.0,9.314997934524866,44,214.5915,0.0062892125027697,Phase 3 (→2040),2040.0,N/A,9.483051946773184,9.314997934524866,inf,inf,7.835212902321142,2.4749828951803234
unelectrified,SHS,5550.0,0.6265136872999727,37,2930.585,0.0,Phase 2 (→2035),2035.0,N/A,0.6794355884112782,0.6265136872999727,inf,inf,9.871615644288662,1.8454254054821695
unelectrified,SHS,6150.0,0.6265136872999727,41,4059.25625,0.0,Phase 1 (→2030),2030.0,N/A,0.554429730585581,0.6265136872999727,inf,inf,6.811628938007349,1.927092491591525
unelectrified,SHS,8700.0,37.654293195962374,58,69.977125,0.005391912579863626,Phase 3 (→2040),2040.0,N/A,37.18998021403245,37.654293195962374,inf,inf,11.720380602865985,3.1705467603189263
unelectrified,SHS,16050.0,34.430032841556184,107,141.185125,0.005778419627041112,Phase 3 (→2040),2040.0,N/A,35.365018172777965,34.430032841556184,inf,inf,6.836128059921544,1.8211264856444567
electrified,Already Electrified,0.0,0.0,51,5444.43125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.674668925362676,1.6783588844030395
unelectrified,SHS,2100.0,0.6265136872999727,14,1386.0875,0.010422907968945436,Phase 3 (→2040),2040.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,7.357292399093554,1.8974386245667851
electrified,Already Electrified,0.0,0.0,139,22729.4625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.363149102141232,2.6646937499229986
unelectrified,SHS,4500.0,0.6265136872999727,30,2970.1875,0.0,Phase 2 (→2035),2035.0,N/A,0.5385719159573886,0.6265136872999727,inf,inf,10.241942582328967,1.2361557296623944
unelectrified,SHS,2400.0,7.763114028555909,16,93.6325,0.015613455362310387,Phase 3 (→2040),2040.0,N/A,7.807042495541952,7.763114028555909,inf,inf,7.386211880908117,2.4495896358242155
unelectrified,SHS,4200.0,0.6265136872999727,28,2772.175,0.0,Phase 2 (→2035),2035.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,10.655851820169556,1.0437149903978726
electrified,Already Electrified,0.0,0.0,19,1881.11875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.671459665698123,2.0521272536519906
unelectrified,SHS,3300.0,0.6265136872999727,22,1742.51,0.0,Phase 2 (→2035),2035.0,N/A,0.6546040229263973,0.6265136872999727,inf,inf,9.095296580331853,2.823131493607178
electrified,Already Electrified,0.0,0.0,45,4455.28125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.213317225613107,1.037124817620682
electrified,Already Electrified,0.0,0.0,20,1980.125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.358785013770595,1.1078508320576832
unelectrified,SHS,3150.0,7.113983902621049,21,134.10625,0.007543575015808689,Phase 3 (→2040),2040.0,N/A,7.100729742476047,7.113983902621049,inf,inf,11.374966598524429,2.5156170962240845
electrified,Already Electrified,0.0,0.0,94,10499.68125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.6445443549220204,1.9531481160348714
electrified,Already Electrified,0.0,0.0,108,10890.23125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.223235447342559,1.665204425947981
unelectrified,SHS,5850.0,7.053959459555308,39,251.17375,0.016856396933370633,Phase 3 (→2040),2040.0,N/A,6.8876652110744985,7.053959459555308,inf,inf,10.854916678224422,2.6830121902730566
unelectrified,SHS,2400.0,0.6265136872999727,16,1267.28,0.00862921894169204,Phase 3 (→2040),2040.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,7.472065817408258,2.295158131595731
electrified,Already Electrified,0.0,0.0,42,3484.655,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.210604874463098,2.618525176580588
electrified,Already Electrified,0.0,0.0,21,2679.55625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.870023656462858,2.5907982203418407
electrified,Already Electrified,0.0,0.0,117,13559.29375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.839702392170347,2.5522183492320814
electrified,Already Electrified,0.0,0.0,20,1980.125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.641474108147584,1.3749535427063075
unelectrified,SHS,1800.0,0.6265136872999727,12,1188.075,0.006356039913800706,Phase 3 (→2040),2040.0,N/A,0.5438971058907484,0.6265136872999727,inf,inf,11.290062147265441,2.648911976825846
electrified,Already Electrified,0.0,0.0,26,2574.1625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.982453799316917,1.5845148215288725
electrified,Already Electrified,0.0,0.0,90,9700.7875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.588955467746892,1.835915215220103
electrified,Already Electrified,0.0,0.0,53,5444.8875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.574781660539548,1.8477793543538665
electrified,Already Electrified,0.0,0.0,57,5840.9125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.95675940028327,1.6417397969091978
unelectrified,SHS,3450.0,0.6265136872999727,23,2277.14375,0.0,Phase 2 (→2035),2035.0,N/A,0.554429730585581,0.6265136872999727,inf,inf,6.767875270663514,1.9005874391948456
unelectrified,SHS,2400.0,0.6265136872999727,16,1267.28,0.011828554938602218,Phase 3 (→2040),2040.0,N/A,0.6700835724535692,0.6265136872999727,inf,inf,11.615240332210984,2.62375201857217
